iteration,best_cost,best_vehicle_num,time_elapsed,avg_cost,current_iter_best,best_path
0,1627.494954964354,28,1.6310012340545654,1894.932155440226,1627.494954964354,"[0, 28, 0, 10, 0, 27, 7, 0, 6, 13, 0, 44, 38, 37, 0, 3, 0, 22, 0, 26, 0, 40, 0, 12, 34, 35, 0, 14, 16, 17, 0, 29, 24, 0, 21, 41, 0, 5, 0, 1, 0, 50, 0, 45, 8, 48, 0, 18, 0, 33, 9, 20, 0, 36, 47, 19, 0, 30, 32, 0, 31, 49, 0, 2, 4, 0, 46, 0, 42, 15, 43, 0, 25, 0, 39, 23, 0, 11, 0]"
1,1503.280777992232,24,2.7308127880096436,1671.117691689485,1503.280777992232,"[0, 31, 10, 1, 0, 29, 24, 0, 40, 26, 0, 27, 7, 48, 0, 13, 0, 44, 38, 37, 0, 12, 34, 35, 0, 21, 41, 0, 2, 0, 28, 50, 0, 6, 0, 19, 0, 5, 16, 0, 30, 32, 0, 33, 9, 20, 0, 42, 15, 43, 0, 22, 0, 39, 23, 4, 25, 0, 36, 47, 17, 0, 18, 46, 0, 3, 0, 45, 8, 0, 14, 0, 11, 49, 0]"
2,1503.280777992232,24,3.768512487411499,1592.9996363024516,1512.5300972554294,"[0, 31, 10, 1, 0, 29, 24, 0, 40, 26, 0, 27, 7, 48, 0, 13, 0, 44, 38, 37, 0, 12, 34, 35, 0, 21, 41, 0, 2, 0, 28, 50, 0, 6, 0, 19, 0, 5, 16, 0, 30, 32, 0, 33, 9, 20, 0, 42, 15, 43, 0, 22, 0, 39, 23, 4, 25, 0, 36, 47, 17, 0, 18, 46, 0, 3, 0, 45, 8, 0, 14, 0, 11, 49, 0]"
3,1433.7547659415918,21,4.720971584320068,1530.911790701929,1433.7547659415918,"[0, 5, 16, 1, 0, 11, 49, 0, 27, 7, 48, 0, 28, 50, 0, 40, 26, 0, 31, 10, 0, 6, 13, 0, 33, 9, 20, 0, 42, 15, 43, 0, 12, 34, 35, 0, 2, 21, 41, 0, 36, 47, 19, 46, 0, 14, 44, 38, 37, 0, 39, 4, 25, 0, 30, 32, 0, 45, 8, 0, 3, 24, 0, 18, 17, 0, 29, 0, 22, 0, 23, 0]"
4,1420.8923655538665,20,5.6220924854278564,1533.0841644262346,1420.8923655538665,"[0, 2, 21, 41, 0, 27, 7, 48, 0, 26, 13, 0, 33, 9, 20, 32, 0, 40, 3, 0, 28, 50, 1, 0, 31, 6, 37, 0, 12, 34, 35, 0, 18, 46, 0, 29, 24, 25, 0, 30, 10, 0, 42, 15, 43, 0, 11, 49, 0, 22, 4, 0, 5, 16, 17, 0, 39, 23, 0, 45, 8, 0, 14, 44, 38, 0, 19, 0, 36, 47, 0]"
5,1357.7157349057668,20,6.550879001617432,1501.0449811177868,1357.7157349057668,"[0, 21, 1, 0, 5, 16, 17, 0, 40, 26, 13, 0, 14, 44, 38, 37, 0, 28, 50, 0, 27, 7, 48, 0, 18, 46, 0, 6, 0, 31, 10, 32, 0, 12, 3, 24, 25, 0, 39, 23, 4, 0, 42, 15, 43, 0, 45, 8, 0, 22, 0, 11, 49, 0, 30, 20, 0, 36, 47, 19, 0, 33, 9, 35, 0, 29, 34, 0, 2, 41, 0]"
6,1357.7157349057668,20,7.4750657081604,1470.570981990126,1359.5373201473092,"[0, 21, 1, 0, 5, 16, 17, 0, 40, 26, 13, 0, 14, 44, 38, 37, 0, 28, 50, 0, 27, 7, 48, 0, 18, 46, 0, 6, 0, 31, 10, 32, 0, 12, 3, 24, 25, 0, 39, 23, 4, 0, 42, 15, 43, 0, 45, 8, 0, 22, 0, 11, 49, 0, 30, 20, 0, 36, 47, 19, 0, 33, 9, 35, 0, 29, 34, 0, 2, 41, 0]"
7,1321.803246468008,21,8.394170999526978,1450.2945237720537,1321.803246468008,"[0, 28, 50, 1, 0, 27, 7, 48, 0, 12, 34, 35, 0, 22, 0, 21, 41, 0, 29, 24, 25, 0, 40, 26, 0, 36, 47, 19, 46, 17, 0, 31, 10, 32, 0, 39, 23, 4, 0, 2, 0, 6, 0, 18, 0, 45, 8, 0, 5, 16, 0, 13, 0, 42, 15, 43, 0, 30, 20, 0, 14, 44, 38, 37, 0, 11, 49, 0, 33, 9, 3, 0]"
8,1321.803246468008,21,9.304643869400024,1440.3811118735352,1326.8353749110088,"[0, 28, 50, 1, 0, 27, 7, 48, 0, 12, 34, 35, 0, 22, 0, 21, 41, 0, 29, 24, 25, 0, 40, 26, 0, 36, 47, 19, 46, 17, 0, 31, 10, 32, 0, 39, 23, 4, 0, 2, 0, 6, 0, 18, 0, 45, 8, 0, 5, 16, 0, 13, 0, 42, 15, 43, 0, 30, 20, 0, 14, 44, 38, 37, 0, 11, 49, 0, 33, 9, 3, 0]"
9,1321.803246468008,21,10.406369686126709,1420.4980221431856,1341.6258950663316,"[0, 28, 50, 1, 0, 27, 7, 48, 0, 12, 34, 35, 0, 22, 0, 21, 41, 0, 29, 24, 25, 0, 40, 26, 0, 36, 47, 19, 46, 17, 0, 31, 10, 32, 0, 39, 23, 4, 0, 2, 0, 6, 0, 18, 0, 45, 8, 0, 5, 16, 0, 13, 0, 42, 15, 43, 0, 30, 20, 0, 14, 44, 38, 37, 0, 11, 49, 0, 33, 9, 3, 0]"
10,1317.3074807943353,19,11.278518438339233,1401.6029305234701,1317.3074807943353,"[0, 14, 44, 38, 37, 0, 27, 7, 48, 0, 28, 50, 1, 0, 6, 13, 0, 5, 16, 17, 0, 40, 26, 0, 30, 32, 0, 45, 8, 46, 0, 2, 21, 41, 0, 42, 15, 43, 0, 12, 34, 35, 0, 36, 47, 19, 49, 0, 39, 23, 4, 25, 0, 18, 10, 0, 33, 9, 3, 24, 0, 31, 0, 11, 20, 0, 22, 0, 29, 0]"
11,1287.1409203541305,19,12.15735149383545,1394.0720595309447,1287.1409203541305,"[0, 39, 23, 4, 25, 0, 27, 7, 48, 0, 6, 13, 0, 28, 50, 1, 0, 42, 15, 43, 0, 31, 10, 32, 0, 2, 21, 41, 0, 45, 8, 46, 17, 0, 40, 26, 0, 30, 20, 0, 18, 0, 29, 24, 0, 12, 3, 35, 0, 22, 0, 36, 47, 19, 49, 0, 5, 16, 37, 0, 14, 44, 38, 0, 33, 9, 34, 0, 11, 0]"
12,1287.1409203541305,19,13.173838376998901,1385.2694678267258,1300.4666753508463,"[0, 39, 23, 4, 25, 0, 27, 7, 48, 0, 6, 13, 0, 28, 50, 1, 0, 42, 15, 43, 0, 31, 10, 32, 0, 2, 21, 41, 0, 45, 8, 46, 17, 0, 40, 26, 0, 30, 20, 0, 18, 0, 29, 24, 0, 12, 3, 35, 0, 22, 0, 36, 47, 19, 49, 0, 5, 16, 37, 0, 14, 44, 38, 0, 33, 9, 34, 0, 11, 0]"
13,1268.2424082545622,19,14.128610372543335,1377.26879474529,1268.2424082545622,"[0, 22, 0, 6, 13, 0, 28, 50, 1, 0, 33, 9, 3, 24, 25, 0, 40, 26, 0, 27, 7, 48, 0, 45, 8, 46, 17, 0, 2, 21, 41, 0, 31, 10, 32, 0, 5, 16, 37, 0, 39, 23, 4, 0, 42, 15, 43, 0, 29, 34, 35, 0, 11, 49, 0, 30, 20, 0, 36, 47, 19, 0, 14, 44, 38, 0, 12, 0, 18, 0]"
14,1268.2424082545622,19,15.303537607192993,1368.8225078190928,1292.4900242970866,"[0, 22, 0, 6, 13, 0, 28, 50, 1, 0, 33, 9, 3, 24, 25, 0, 40, 26, 0, 27, 7, 48, 0, 45, 8, 46, 17, 0, 2, 21, 41, 0, 31, 10, 32, 0, 5, 16, 37, 0, 39, 23, 4, 0, 42, 15, 43, 0, 29, 34, 35, 0, 11, 49, 0, 30, 20, 0, 36, 47, 19, 0, 14, 44, 38, 0, 12, 0, 18, 0]"
15,1262.6333508642654,18,16.299175262451172,1349.8397866925675,1262.6333508642654,"[0, 27, 7, 48, 0, 28, 50, 1, 0, 22, 4, 25, 0, 42, 15, 43, 0, 31, 10, 32, 0, 33, 9, 3, 24, 0, 2, 21, 40, 26, 0, 6, 13, 0, 5, 16, 17, 0, 12, 34, 35, 0, 30, 20, 0, 14, 44, 38, 37, 0, 36, 47, 19, 46, 0, 45, 8, 0, 18, 0, 11, 49, 0, 29, 0, 39, 23, 41, 0]"
16,1262.6333508642654,18,17.159461975097656,1364.3913310777532,1269.9290907349125,"[0, 27, 7, 48, 0, 28, 50, 1, 0, 22, 4, 25, 0, 42, 15, 43, 0, 31, 10, 32, 0, 33, 9, 3, 24, 0, 2, 21, 40, 26, 0, 6, 13, 0, 5, 16, 17, 0, 12, 34, 35, 0, 30, 20, 0, 14, 44, 38, 37, 0, 36, 47, 19, 46, 0, 45, 8, 0, 18, 0, 11, 49, 0, 29, 0, 39, 23, 41, 0]"
17,1262.6333508642654,18,18.253774881362915,1354.5012947031978,1270.0410401855,"[0, 27, 7, 48, 0, 28, 50, 1, 0, 22, 4, 25, 0, 42, 15, 43, 0, 31, 10, 32, 0, 33, 9, 3, 24, 0, 2, 21, 40, 26, 0, 6, 13, 0, 5, 16, 17, 0, 12, 34, 35, 0, 30, 20, 0, 14, 44, 38, 37, 0, 36, 47, 19, 46, 0, 45, 8, 0, 18, 0, 11, 49, 0, 29, 0, 39, 23, 41, 0]"
18,1262.6333508642654,18,19.21739411354065,1365.552337573761,1283.6563487782814,"[0, 27, 7, 48, 0, 28, 50, 1, 0, 22, 4, 25, 0, 42, 15, 43, 0, 31, 10, 32, 0, 33, 9, 3, 24, 0, 2, 21, 40, 26, 0, 6, 13, 0, 5, 16, 17, 0, 12, 34, 35, 0, 30, 20, 0, 14, 44, 38, 37, 0, 36, 47, 19, 46, 0, 45, 8, 0, 18, 0, 11, 49, 0, 29, 0, 39, 23, 41, 0]"
19,1262.6333508642654,18,20.28067135810852,1337.7191603549152,1265.7210720567602,"[0, 27, 7, 48, 0, 28, 50, 1, 0, 22, 4, 25, 0, 42, 15, 43, 0, 31, 10, 32, 0, 33, 9, 3, 24, 0, 2, 21, 40, 26, 0, 6, 13, 0, 5, 16, 17, 0, 12, 34, 35, 0, 30, 20, 0, 14, 44, 38, 37, 0, 36, 47, 19, 46, 0, 45, 8, 0, 18, 0, 11, 49, 0, 29, 0, 39, 23, 41, 0]"
20,1262.6333508642654,18,21.20291018486023,1357.1289980290214,1272.6602546537035,"[0, 27, 7, 48, 0, 28, 50, 1, 0, 22, 4, 25, 0, 42, 15, 43, 0, 31, 10, 32, 0, 33, 9, 3, 24, 0, 2, 21, 40, 26, 0, 6, 13, 0, 5, 16, 17, 0, 12, 34, 35, 0, 30, 20, 0, 14, 44, 38, 37, 0, 36, 47, 19, 46, 0, 45, 8, 0, 18, 0, 11, 49, 0, 29, 0, 39, 23, 41, 0]"
21,1251.2055176514107,18,22.068270683288574,1320.60265007536,1251.2055176514107,"[0, 45, 8, 46, 17, 0, 28, 50, 1, 0, 27, 7, 48, 0, 29, 24, 25, 0, 6, 13, 0, 31, 10, 32, 0, 18, 0, 40, 26, 0, 12, 34, 35, 0, 30, 20, 0, 5, 16, 37, 0, 2, 21, 41, 0, 14, 44, 38, 43, 0, 33, 9, 3, 4, 0, 11, 49, 0, 39, 23, 22, 0, 42, 15, 0, 36, 47, 19, 0]"
22,1250.1270608534078,17,23.017602920532227,1322.523998465656,1250.1270608534078,"[0, 45, 8, 46, 17, 0, 28, 50, 1, 0, 33, 9, 3, 24, 25, 0, 27, 7, 48, 0, 18, 6, 13, 0, 21, 40, 26, 0, 5, 16, 37, 0, 11, 49, 0, 36, 47, 19, 10, 32, 0, 22, 4, 0, 31, 30, 20, 0, 12, 34, 35, 0, 2, 41, 0, 14, 44, 38, 43, 0, 39, 23, 0, 29, 0, 42, 15, 0]"
23,1235.4418151375633,17,23.970762252807617,1326.8668981946712,1235.4418151375633,"[0, 18, 6, 13, 0, 28, 50, 1, 0, 22, 4, 25, 0, 27, 7, 48, 0, 42, 15, 43, 0, 11, 49, 0, 31, 10, 32, 0, 2, 21, 40, 26, 0, 30, 20, 0, 5, 16, 17, 0, 29, 34, 35, 0, 33, 9, 3, 24, 0, 12, 0, 45, 8, 46, 0, 39, 23, 41, 37, 0, 14, 44, 38, 0, 36, 47, 19, 0]"
24,1235.4418151375633,17,24.856167316436768,1313.2161191951288,1247.98872384746,"[0, 18, 6, 13, 0, 28, 50, 1, 0, 22, 4, 25, 0, 27, 7, 48, 0, 42, 15, 43, 0, 11, 49, 0, 31, 10, 32, 0, 2, 21, 40, 26, 0, 30, 20, 0, 5, 16, 17, 0, 29, 34, 35, 0, 33, 9, 3, 24, 0, 12, 0, 45, 8, 46, 0, 39, 23, 41, 37, 0, 14, 44, 38, 0, 36, 47, 19, 0]"
25,1235.4418151375633,17,25.705243349075317,1306.3675955070948,1244.8210915578845,"[0, 18, 6, 13, 0, 28, 50, 1, 0, 22, 4, 25, 0, 27, 7, 48, 0, 42, 15, 43, 0, 11, 49, 0, 31, 10, 32, 0, 2, 21, 40, 26, 0, 30, 20, 0, 5, 16, 17, 0, 29, 34, 35, 0, 33, 9, 3, 24, 0, 12, 0, 45, 8, 46, 0, 39, 23, 41, 37, 0, 14, 44, 38, 0, 36, 47, 19, 0]"
26,1235.4418151375633,17,26.616724014282227,1298.9014813408437,1235.7330448314935,"[0, 18, 6, 13, 0, 28, 50, 1, 0, 22, 4, 25, 0, 27, 7, 48, 0, 42, 15, 43, 0, 11, 49, 0, 31, 10, 32, 0, 2, 21, 40, 26, 0, 30, 20, 0, 5, 16, 17, 0, 29, 34, 35, 0, 33, 9, 3, 24, 0, 12, 0, 45, 8, 46, 0, 39, 23, 41, 37, 0, 14, 44, 38, 0, 36, 47, 19, 0]"
