iteration,best_cost,best_vehicle_num,time_elapsed,avg_cost,current_iter_best
0,75265.46625699663,304,10.19676947593689,78601.30944994059,75265.46625699663
1,64066.82406198683,244,22.110081911087036,67251.14900968653,64066.82406198683
2,60308.30284167856,235,32.94351410865784,62386.394671584676,60308.30284167856
3,57207.16125208295,213,42.76818323135376,59510.795210706114,57207.16125208295
4,54403.01067262148,205,51.580002307891846,57100.37388292934,54403.01067262148
5,54153.64327119603,203,60.4784460067749,55938.25562628225,54153.64327119603
6,52482.12707857173,199,69.23152184486389,54201.50002024455,52482.12707857173
7,51354.28090582594,192,78.62602305412292,53456.16364830069,51354.28090582594
8,50973.526781368724,194,87.1200041770935,52862.77908462536,50973.526781368724
9,50745.74593016391,184,95.046062707901,52355.71286521966,50745.74593016391
10,49821.11574522435,180,102.76343846321106,51950.36368663847,49821.11574522435
11,49614.09594343269,182,110.20563459396362,51021.52165237472,49614.09594343269
12,48116.67931555585,173,118.0625011920929,50135.49186240553,48116.67931555585
13,47992.91978183911,175,125.7615749835968,49910.460529447366,47992.91978183911
14,47687.627736888506,170,133.3939938545227,49368.68074681671,47687.627736888506
15,47687.627736888506,170,140.95556712150574,49528.14676427874,47961.64280867915
16,47246.08397801579,169,149.05075597763062,48836.28885655576,47246.08397801579
17,46719.89244714162,167,156.59780144691467,49050.16240946255,46719.89244714162
18,46719.89244714162,167,163.94122004508972,48516.29166185817,46880.552951381454
19,46719.89244714162,167,171.49205660820007,49036.430621760126,47514.61952604382
20,46654.660828047105,165,178.96314573287964,48641.77294305326,46654.660828047105
21,46562.182511012245,157,186.34991884231567,47846.9220729044,46562.182511012245
22,45995.51892436344,159,194.17179083824158,47845.26240852671,45995.51892436344
23,45995.51892436344,159,201.54237127304077,47802.20918568353,46058.91213867426
24,45995.51892436344,159,209.29060316085815,47736.80595625623,46534.01075923219
25,45207.55592837835,154,216.59021830558777,47070.3066104709,45207.55592837835
26,45207.55592837835,154,223.8970217704773,47104.096303816674,45761.397011666755
27,45011.71527000498,151,231.16698455810547,47071.11034392702,45011.71527000498
28,44663.62261583133,153,238.3918731212616,46542.96821258593,44663.62261583133
29,44663.62261583133,153,246.81476187705994,46350.65884653672,44972.26882258984
30,44575.21885911206,157,256.46317195892334,46083.35591638878,44575.21885911206
31,44337.694882540236,152,264.9482364654541,46208.60989370587,44337.694882540236
32,44043.04284890169,153,272.4467306137085,45702.00778098138,44043.04284890169
33,44043.04284890169,153,279.61992716789246,45914.12278923776,44513.12250312412
34,44043.04284890169,153,286.79444122314453,46126.507493286386,44320.050662595626
35,43853.91685528731,151,293.93400168418884,45785.87782667172,43853.91685528731
36,43215.35222569775,146,301.0113060474396,45228.43554263825,43215.35222569775
37,43215.35222569775,146,307.9598343372345,45307.49191817411,43740.15903987902
38,43215.35222569775,146,315.372638463974,45104.90412096542,43433.80972158499
39,43215.35222569775,146,322.4824814796448,45099.05171567277,44186.336802128004
40,42971.875943438026,150,329.55860805511475,44841.70403608514,42971.875943438026
41,42833.84197911417,144,336.6826469898224,44746.2571576569,42833.84197911417
42,42833.84197911417,144,343.89537286758423,44542.81964225281,43419.04830347224
43,42833.84197911417,144,351.1967809200287,44334.085115918366,43150.19335720732
44,42712.19229676341,148,359.2061126232147,44636.90901704241,42712.19229676341
45,42712.19229676341,148,366.8768644332886,44646.3968717271,43407.836217754855
46,42712.19229676341,148,373.8071782588959,44567.16027411707,43413.23735421062
47,42199.35691718695,145,380.8201518058777,43947.22978720057,42199.35691718695
48,42199.35691718695,145,387.8681523799896,43946.74374395677,42917.786311187556
49,42199.35691718695,145,394.7239034175873,43730.85637295163,42407.974800013595
50,42199.35691718695,145,401.6387541294098,43979.66505817193,42294.75417597404
51,41510.578837660105,145,408.7301564216614,43899.879590358905,41510.578837660105
52,41510.578837660105,145,415.6734404563904,43970.81473938003,42570.20897935409
53,41510.578837660105,145,422.54332661628723,43824.92510919443,41537.200557180346
54,41510.578837660105,145,429.4490044116974,43858.98232263036,42030.66812631778
55,41510.578837660105,145,436.483482837677,43563.62002522574,41682.346386699566
56,41510.578837660105,145,443.47031903266907,43573.83648577574,42240.48617662977
57,41510.578837660105,145,450.35463786125183,43197.817922617534,42001.15640521227
58,41510.578837660105,145,457.44975566864014,43521.653493815415,42292.25857755842
59,41510.578837660105,145,464.41960978507996,43579.22530378088,41520.175224459825
60,41510.578837660105,145,471.49622344970703,43079.85327582634,41674.684485360674
61,41510.578837660105,145,478.44693994522095,43197.40220386449,41888.36225555335
62,41510.578837660105,145,485.9813508987427,43244.214141096476,42253.956063197096
63,41510.578837660105,145,492.8675420284271,42969.24388635331,42234.687890184614
64,41510.578837660105,145,499.9190499782562,43335.96114671351,41904.91903542294
65,41140.83973378017,142,506.8451623916626,43175.46223005037,41140.83973378017
66,41140.83973378017,142,514.1882576942444,42906.58459230316,41195.21536302374
67,41140.83973378017,142,521.1027553081512,42764.47998133194,41555.414495073645
68,41140.83973378017,142,528.0084805488586,43140.70650330174,41320.54614758725
69,41140.83973378017,142,534.9981763362885,42666.24872488964,41565.40933004243
70,41140.83973378017,142,542.9321391582489,42687.99538269828,41496.05624313357
71,41140.83973378017,142,549.6769309043884,42855.469002773156,41511.787118301225
72,41140.83973378017,142,556.3358926773071,42583.531803829756,41488.16019283567
