iteration,best_cost,best_vehicle_num,time_elapsed,avg_cost,current_iter_best
0,190063.39313798695,448,25.358482837677002,198174.46923730377,190063.39313798695
1,138189.72771432184,320,47.31538939476013,146029.77484217423,138189.72771432184
2,123966.42423732868,286,66.71910119056702,130339.30244175457,123966.42423732868
3,116295.8459750032,270,84.9763491153717,121179.01228384467,116295.8459750032
4,109909.490830915,255,103.03501844406128,115835.14291913137,109909.490830915
5,106241.2622857773,241,121.08636212348938,111928.05712382817,106241.2622857773
6,102916.1443884259,241,139.5208203792572,109000.00138865146,102916.1443884259
7,101116.02813972846,237,156.74853420257568,105740.02196659418,101116.02813972846
8,99108.43825108159,229,175.15183758735657,103509.61463702787,99108.43825108159
9,99108.43825108159,229,194.20291328430176,102590.93228262327,99688.402363685
10,97803.67201552883,224,210.8444836139679,101664.50394721513,97803.67201552883
11,96792.91854948582,220,229.4345154762268,100453.58614788334,96792.91854948582
12,96654.12144400385,221,246.9472165107727,100276.16622218235,96654.12144400385
13,93127.94755537256,213,264.54836106300354,98920.42490953542,93127.94755537256
14,93114.92314984718,213,282.8869957923889,97628.45459093685,93114.92314984718
15,93114.92314984718,213,300.7430913448334,97038.84021281217,93281.56762636665
16,93114.92314984718,213,318.8316476345062,96678.39319176217,93166.34515808386
17,92131.85185645027,207,336.05027532577515,96195.02877525859,92131.85185645027
18,92131.85185645027,207,352.51377964019775,94582.54501305305,92132.90617720646
19,90856.76973759322,207,370.2800590991974,95358.73085835022,90856.76973759322
20,89538.88024002747,200,386.5134551525116,93715.91857779745,89538.88024002747
21,89538.88024002747,200,405.36049604415894,93813.94168885381,90835.78368468837
22,89538.88024002747,200,422.01409220695496,93800.67664479453,90280.89845839585
23,89538.88024002747,200,438.8799750804901,93239.23643865547,89710.13032998845
24,89013.51749006068,194,455.6536693572998,92918.26592806503,89013.51749006068
25,89013.51749006068,194,472.5280547142029,92694.33400326376,89072.4350082418
26,89013.51749006068,194,489.7811176776886,92986.06804804257,90169.88035759518
27,89013.51749006068,194,506.38180780410767,92441.77945002256,89430.48475083502
28,88051.99128656658,196,523.3953518867493,91564.13520357071,88051.99128656658
29,88051.99128656658,196,540.0783734321594,91147.58320765474,88538.62452776125
30,87722.9665430058,195,556.6568918228149,90732.81471027518,87722.9665430058
31,86856.77755839057,191,573.0170578956604,90544.10258563024,86856.77755839057
32,86856.77755839057,191,589.8730266094208,89748.50066804152,86864.28899912676
33,85071.47206447978,189,606.7422428131104,90012.09902742566,85071.47206447978
34,84203.1057101683,189,623.6135971546173,89016.57074580013,84203.1057101683
35,84203.1057101683,189,639.868447303772,89508.68871684647,86374.07220969617
36,83753.77279407767,182,656.1358437538147,88051.65657434444,83753.77279407767
37,82695.14353037793,181,674.4804766178131,88157.51451478466,82695.14353037793
38,82695.14353037793,181,691.4675743579865,88644.56317252254,86180.88698645304
39,82695.14353037793,181,709.1888651847839,87413.65757521424,83866.57951821145
40,82695.14353037793,181,726.4054729938507,87255.79751646257,84473.52119894863
41,82461.93951858947,182,742.8275861740112,85956.45299655842,82461.93951858947
42,82461.93951858947,182,758.1257436275482,86995.2133597557,84470.4304793856
43,82461.93951858947,182,773.6245853900909,87010.66344129652,84430.80794678607
44,82461.93951858947,182,788.7715878486633,85718.46615535153,83122.72572346921
45,82461.93951858947,182,804.4292922019958,86888.08750594678,83665.50844462127
46,82461.93951858947,182,819.7417316436768,86344.84058647504,82765.85909854568
47,79666.35761463687,177,835.7556200027466,84910.42662890103,79666.35761463687
48,79666.35761463687,177,852.9129118919373,85185.21116374311,81972.27948858417
49,79666.35761463687,177,869.295658826828,84582.50477461786,82274.20288847445
