iteration,best_cost,best_vehicle_num,time_elapsed,avg_cost,current_iter_best
0,181139.0845285823,427,25.7413592338562,190093.0060179865,181139.0845285823
1,150195.83594440416,347,47.19347429275513,156436.50384520425,150195.83594440416
2,140914.46332712626,323,66.10085773468018,144688.48714372452,140914.46332712626
3,134442.05986239942,302,84.183664560318,139113.51681900604,134442.05986239942
4,127666.82400267711,287,100.68296551704407,134733.65117213695,127666.82400267711
5,122741.8780661416,272,116.40478563308716,129555.21142098033,122741.8780661416
6,119669.05084949824,270,132.81934571266174,126018.52163989046,119669.05084949824
7,119606.02356171128,266,150.45946669578552,124332.40929837446,119606.02356171128
8,115532.34753889582,257,168.8882737159729,120828.12422937041,115532.34753889582
9,114735.50538330704,253,187.0548689365387,119164.7354490856,114735.50538330704
10,111822.84280919291,248,206.27919054031372,118379.50141583895,111822.84280919291
11,111822.84280919291,248,225.15060710906982,116030.13208635277,112401.51112475619
12,110501.98769996983,246,243.13903665542603,115050.68429542356,110501.98769996983
13,109677.38850249427,237,261.20032382011414,114010.69484567389,109677.38850249427
14,106703.4040555755,231,279.58032965660095,112144.34554652579,106703.4040555755
15,106703.4040555755,231,296.9628710746765,111589.97021600188,109235.37246123365
16,104477.03651574587,225,314.4859986305237,110414.37830009151,104477.03651574587
17,104477.03651574587,225,332.83572149276733,110745.69717363206,105221.8643594866
18,104371.64870007966,225,350.91734766960144,109257.86012438514,104371.64870007966
19,104371.64870007966,225,368.5765793323517,109180.11508193884,106309.233559564
20,104201.62456493804,222,387.22599697113037,108869.4630786872,104201.62456493804
21,103164.84439879643,221,404.65937662124634,107917.19751889238,103164.84439879643
22,102760.22145276536,218,421.75917649269104,106364.33819447325,102760.22145276536
23,102000.75421441754,222,439.44084072113037,106074.7511825038,102000.75421441754
24,102000.75421441754,222,457.65867924690247,105508.07590232378,102003.34248752586
25,101113.93235101271,211,475.7504713535309,105529.16542501566,101113.93235101271
26,101113.93235101271,211,491.1683557033539,105245.19415656783,101748.97809637545
27,98789.1704726276,206,508.24816250801086,104357.67247236743,98789.1704726276
28,98789.1704726276,206,527.3635401725769,103802.31318581992,98938.17442503774
