iteration,best_cost,best_vehicle_num,time_elapsed,avg_cost,current_iter_best,best_path
0,823.8083391885743,10,0.5657572746276855,1028.4261403875196,823.8083391885743,"[0, 18, 25, 24, 0, 9, 10, 13, 0, 1, 0, 5, 3, 4, 0, 21, 23, 19, 20, 0, 16, 15, 17, 0, 2, 6, 7, 0, 14, 12, 11, 0, 8, 0, 22, 0]"
1,816.8377529401027,10,0.9052028656005859,952.8885450837737,816.8377529401027,"[0, 2, 6, 7, 0, 18, 24, 0, 12, 0, 5, 3, 1, 4, 0, 14, 15, 13, 0, 22, 20, 0, 9, 10, 0, 8, 0, 11, 16, 17, 0, 23, 21, 19, 25, 0]"
2,791.447432907855,9,1.1957588195800781,907.6308870361579,791.447432907855,"[0, 2, 6, 7, 1, 0, 5, 3, 4, 0, 22, 24, 0, 9, 10, 13, 0, 8, 0, 18, 0, 14, 12, 11, 16, 0, 21, 23, 19, 20, 25, 0, 15, 17, 0]"
3,729.6672654232591,8,1.4367578029632568,868.2987763498686,729.6672654232591,"[0, 2, 6, 7, 0, 5, 3, 4, 1, 0, 20, 25, 0, 21, 23, 19, 24, 0, 18, 22, 0, 8, 17, 13, 0, 12, 11, 10, 0, 14, 15, 16, 9, 0]"
4,688.6743812539879,8,1.6315760612487793,846.6931226729514,688.6743812539879,"[0, 18, 22, 20, 25, 24, 0, 14, 15, 16, 17, 13, 0, 12, 11, 10, 0, 8, 4, 1, 0, 5, 3, 0, 9, 0, 2, 6, 7, 0, 21, 23, 19, 0]"
5,688.6743812539879,8,1.8905689716339111,846.0046496766518,693.7812627943136,"[0, 18, 22, 20, 25, 24, 0, 14, 15, 16, 17, 13, 0, 12, 11, 10, 0, 8, 4, 1, 0, 5, 3, 0, 9, 0, 2, 6, 7, 0, 21, 23, 19, 0]"
6,629.0529609120968,7,2.0858821868896484,792.6270958399673,629.0529609120968,"[0, 5, 3, 1, 4, 0, 14, 15, 16, 9, 10, 13, 17, 0, 21, 23, 19, 25, 24, 0, 2, 6, 7, 0, 18, 22, 20, 0, 12, 11, 0, 8, 0]"
7,629.0529609120968,7,2.2822799682617188,737.5816866100511,671.761717947736,"[0, 5, 3, 1, 4, 0, 14, 15, 16, 9, 10, 13, 17, 0, 21, 23, 19, 25, 24, 0, 2, 6, 7, 0, 18, 22, 20, 0, 12, 11, 0, 8, 0]"
8,625.3658819712211,7,2.462905168533325,736.7220721792346,625.3658819712211,"[0, 5, 3, 1, 4, 0, 12, 11, 10, 13, 17, 0, 18, 22, 20, 25, 24, 0, 21, 23, 19, 0, 8, 7, 6, 0, 2, 0, 14, 15, 16, 9, 0]"
9,625.3658819712211,7,2.629638433456421,736.9017904696107,665.4336909955193,"[0, 5, 3, 1, 4, 0, 12, 11, 10, 13, 17, 0, 18, 22, 20, 25, 24, 0, 21, 23, 19, 0, 8, 7, 6, 0, 2, 0, 14, 15, 16, 9, 0]"
10,625.3658819712211,7,2.7992467880249023,738.9603482831385,639.9295366783268,"[0, 5, 3, 1, 4, 0, 12, 11, 10, 13, 17, 0, 18, 22, 20, 25, 24, 0, 21, 23, 19, 0, 8, 7, 6, 0, 2, 0, 14, 15, 16, 9, 0]"
11,606.6126827746625,6,2.9654860496520996,709.4427068320246,606.6126827746625,"[0, 14, 15, 16, 9, 10, 13, 17, 0, 22, 20, 25, 24, 0, 21, 23, 19, 18, 0, 2, 6, 7, 1, 4, 0, 5, 3, 0, 11, 12, 8, 0]"
12,606.6126827746625,6,3.135948419570923,747.7773553854579,632.6150054088882,"[0, 14, 15, 16, 9, 10, 13, 17, 0, 22, 20, 25, 24, 0, 21, 23, 19, 18, 0, 2, 6, 7, 1, 4, 0, 5, 3, 0, 11, 12, 8, 0]"
13,606.6126827746625,6,3.2740304470062256,712.5239159485311,628.5592823052089,"[0, 14, 15, 16, 9, 10, 13, 17, 0, 22, 20, 25, 24, 0, 21, 23, 19, 18, 0, 2, 6, 7, 1, 4, 0, 5, 3, 0, 11, 12, 8, 0]"
14,606.6126827746625,6,3.438197374343872,712.078591566825,624.2298406017536,"[0, 14, 15, 16, 9, 10, 13, 17, 0, 22, 20, 25, 24, 0, 21, 23, 19, 18, 0, 2, 6, 7, 1, 4, 0, 5, 3, 0, 11, 12, 8, 0]"
