iteration,best_cost,best_vehicle_num,time_elapsed,avg_cost,current_iter_best
0,165286.61670151306,361,21.75214409828186,172184.72183077043,165286.61670151306
1,141083.70058796543,307,42.58631944656372,148836.02857764837,141083.70058796543
2,130018.91241899137,285,61.905731201171875,136051.03955891554,130018.91241899137
3,122658.21793544386,268,80.66138029098511,127763.2958815437,122658.21793544386
4,119252.35169608082,257,99.70123720169067,123446.03122254756,119252.35169608082
5,111802.17733992005,237,117.9962751865387,118178.4838500696,111802.17733992005
6,111802.17733992005,237,135.51561450958252,115053.5696053727,111905.65204738345
7,109526.11733830911,238,153.17613625526428,113446.4182647578,109526.11733830911
8,106632.24184597022,225,171.76476311683655,110615.44894233471,106632.24184597022
9,105067.21754432953,225,188.3432765007019,109682.6038909821,105067.21754432953
10,102804.32437156166,219,202.9309425354004,107459.41863090076,102804.32437156166
11,101973.04829005519,211,219.95497274398804,105199.25114744846,101973.04829005519
12,101219.48816164027,209,239.35033178329468,103970.7117571168,101219.48816164027
13,98553.87868301521,201,256.1860263347626,101777.2273660519,98553.87868301521
14,95608.5663135354,197,273.3867783546448,100734.90065519381,95608.5663135354
15,95608.5663135354,197,290.0241665840149,99057.34523363732,95907.32216002847
16,93544.6289818739,191,306.78472447395325,98573.83236999135,93544.6289818739
17,91822.88305454096,183,323.12432980537415,96750.33906608693,91822.88305454096
18,91803.0071410867,188,339.0686767101288,96666.02527638974,91803.0071410867
19,89872.90578254599,178,354.42160820961,94773.73310258306,89872.90578254599
20,89872.90578254599,178,369.80787920951843,93398.06841579516,90166.5295169606
21,89385.78138519355,183,385.54310941696167,93086.63610537547,89385.78138519355
22,88595.5462645523,180,403.0298981666565,92211.8637314331,88595.5462645523
23,86524.5752322138,172,419.0153555870056,91199.14582392215,86524.5752322138
24,86524.5752322138,172,435.88266372680664,91115.24796846729,88272.0956857951
25,85908.19376601919,168,451.8582036495209,90752.7806852123,85908.19376601919
26,84909.5035096278,165,467.61805748939514,89128.41094563674,84909.5035096278
27,84909.5035096278,165,481.99677872657776,89978.67207353855,85943.32780175266
28,84909.5035096278,165,495.2014515399933,89023.61175879599,85407.82168653228
29,84909.5035096278,165,509.8833246231079,88841.12585292869,86217.88544943988
30,83344.67190572144,162,525.9534049034119,88271.28328595927,83344.67190572144
31,83344.67190572144,162,539.5672481060028,87672.20430696521,84261.71928315298
32,83325.519174592,159,552.271285533905,86549.38449006024,83325.519174592
33,81865.05502237246,159,567.4494173526764,86571.37559184301,81865.05502237246
34,81865.05502237246,159,583.0416882038116,86515.57085948654,83391.28430732795
35,81865.05502237246,159,597.9192957878113,86274.1381601041,82661.78112386794
36,81865.05502237246,159,611.0581007003784,86119.89662625159,82913.00767206191
37,79509.07704469012,159,624.9610180854797,84685.9876222529,79509.07704469012
38,79509.07704469012,159,639.6609132289886,84288.1741754473,79966.57580422076
39,79509.07704469012,159,653.8460443019867,84232.20630057111,81089.9237723867
40,79509.07704469012,159,667.4876384735107,84151.67812852135,80677.83122557604
41,79509.07704469012,159,682.8129029273987,84253.28568984063,82401.20098993885
42,79176.20416920207,152,697.3774521350861,83881.81856146741,79176.20416920207
43,79176.20416920207,152,710.9743802547455,83233.63516093044,79223.78099099029
44,79176.20416920207,152,724.8419189453125,82710.31921108303,79716.51501543116
45,78355.08222050196,153,739.4433407783508,82346.2744986581,78355.08222050196
46,78355.08222050196,153,753.8132190704346,82369.89534171375,78692.89969309706
47,78355.08222050196,153,766.8200376033783,82292.99110672466,80018.91397756748
48,78355.08222050196,153,782.7292165756226,82976.94800803807,80315.14234889399
49,78355.08222050196,153,802.3592641353607,82517.57067504666,80004.60824039007
50,78355.08222050196,153,822.2655651569366,82632.35152167144,79711.22528104403
51,78355.08222050196,153,841.1872019767761,82530.52886766964,79782.26372456813
52,77887.86743113092,149,856.8897981643677,80783.15891801988,77887.86743113092
53,77887.86743113092,149,871.7402400970459,81774.77818626132,79423.4401741464
54,77887.86743113092,149,885.7443835735321,82091.39064372663,78060.51667637879
55,77887.86743113092,149,900.1511511802673,81634.42840881956,78022.20061735497
56,77793.25200696214,147,914.8567326068878,81089.62559656527,77793.25200696214
57,77793.25200696214,147,929.670783996582,81219.06137414108,78083.77618800837
58,77655.72676892554,149,943.8169474601746,81350.82533818731,77655.72676892554
59,77655.72676892554,149,956.5789215564728,81252.66439470388,78422.56631317188
60,77351.7097878976,146,970.681637763977,81280.77365245068,77351.7097878976
61,77351.7097878976,146,983.8633575439453,80072.31661758166,77696.34536074942
62,77351.7097878976,146,996.9398791790009,81215.9902996721,78011.92472658407
63,75993.99650331946,145,1011.6494891643524,80244.1523403671,75993.99650331946
64,75993.99650331946,145,1027.2885608673096,80229.48155615237,76144.71600298498
65,75993.99650331946,145,1043.060549736023,79084.19452614078,77195.01956611074
66,75993.99650331946,145,1058.0453443527222,79899.37760481294,78292.62657909597
67,75794.29780176679,144,1072.378165960312,79757.44183800489,75794.29780176679
68,75794.29780176679,144,1084.69269156456,79356.37615618507,76841.20197358845
69,75794.29780176679,144,1098.9364440441132,80210.6558228562,76866.30038506031
70,75794.29780176679,144,1115.2453508377075,79593.43564286921,76496.83952040688
71,75794.29780176679,144,1130.2653744220734,79755.71305389926,77112.76623233389
72,75794.29780176679,144,1145.5989739894867,78915.60052513974,76781.00962604255
73,75794.29780176679,144,1160.9840650558472,79235.1128636639,75881.12643888121
74,75794.29780176679,144,1176.4582052230835,78629.42386188263,76015.94117754855
75,75794.29780176679,144,1191.815639257431,78981.41349917799,76882.46417763499
