iteration,best_cost,best_vehicle_num,time_elapsed,avg_cost,current_iter_best
0,55411.80514967646,213,8.902625322341919,57837.496394314025,55411.80514967646
1,44984.625506138815,162,17.28823494911194,49855.72245713845,44984.625506138815
2,43003.101220005556,158,25.26132559776306,45573.84293095823,43003.101220005556
3,41423.093033735524,154,33.10882544517517,43908.648581527785,41423.093033735524
4,41016.52283019583,147,40.836878061294556,42449.784641895814,41016.52283019583
5,37016.88306747544,137,47.68569278717041,40299.882513543984,37016.88306747544
6,37016.88306747544,137,55.04855275154114,39474.06480567081,37598.559645588866
7,37016.88306747544,137,61.83169388771057,38997.22686302755,37679.07176720354
8,35904.636835958896,127,68.53280901908875,38126.437590081274,35904.636835958896
9,35904.636835958896,127,75.05326008796692,37756.50821425583,36159.931220794475
10,34745.08812653233,120,82.33369708061218,36695.629516674795,34745.08812653233
11,34745.08812653233,120,89.09390687942505,36849.060907842606,35269.501397330045
12,34745.08812653233,120,95.81005907058716,36295.237307029194,35399.73147861183
13,34612.34782962959,125,102.34466171264648,36187.251003943275,34612.34782962959
14,33690.34585390631,116,108.76261711120605,36109.10751997701,33690.34585390631
15,33690.34585390631,116,115.02465462684631,35664.5129431247,34116.514298525915
16,33551.68206440886,118,121.76709365844727,35292.25717144713,33551.68206440886
17,33551.68206440886,118,128.61807107925415,35638.81122712746,34326.84963900656
18,33301.89406455288,108,134.9864637851715,35095.89857833691,33301.89406455288
19,32864.55614676334,105,141.30588698387146,34514.02010100217,32864.55614676334
20,32357.85745282875,111,148.09512639045715,34332.69477165865,32357.85745282875
21,31961.435292317354,102,155.33799695968628,34093.14840581386,31961.435292317354
22,31961.435292317354,102,162.0001528263092,34148.413102484425,32906.99887347487
23,31961.435292317354,102,168.76634812355042,33828.403798464235,32056.978038205427
24,31961.435292317354,102,175.80055928230286,33803.62108265654,32414.618450052913
25,31961.435292317354,102,183.67056322097778,33787.061561970884,32392.03380744431
26,31360.938748222754,103,191.42840814590454,33435.772303878766,31360.938748222754
27,30511.784126081493,100,198.43937230110168,32911.65261320997,30511.784126081493
28,30511.784126081493,100,205.0041229724884,32942.702240542596,30881.565299716207
29,30511.784126081493,100,212.2163519859314,32957.04422074942,31453.030786914445
30,30511.784126081493,100,219.3393895626068,32965.773489141524,31569.6946344365
31,30511.784126081493,100,226.30215692520142,32967.18270797965,31439.467189297815
32,30511.784126081493,100,232.9142050743103,32345.846366691356,31183.957573721815
33,30511.784126081493,100,239.48454451560974,32130.04441922388,31081.490149895926
34,30511.784126081493,100,245.9735245704651,31820.073606404138,30747.23545442211
35,30511.784126081493,100,252.64763188362122,32143.91178332049,30746.493089513984
36,29970.05758609686,97,259.5113251209259,31678.489903454785,29970.05758609686
37,29970.05758609686,97,266.1289577484131,31654.973095858913,30365.42489419064
38,29970.05758609686,97,273.92583441734314,31899.811372953438,30133.892695942213
39,29970.05758609686,97,281.18226861953735,31857.190182433806,30915.705346920073
40,29970.05758609686,97,287.6948091983795,31593.25317712878,29973.54610390299
41,29970.05758609686,97,294.6147015094757,31813.50878529732,30189.257380401024
42,29970.05758609686,97,302.34253430366516,31502.632923201112,30186.397912328262
43,29959.350506357016,94,308.8225243091583,31321.886879028974,29959.350506357016
44,29505.529546775797,95,316.23296213150024,31132.63918205267,29505.529546775797
45,29505.529546775797,95,323.5401611328125,31413.260954245292,29980.534402496225
46,29505.529546775797,95,329.65397691726685,31319.995447094232,29572.23160053696
47,29490.881987793553,93,335.76838636398315,31309.885346044943,29490.881987793553
48,29147.301921216236,95,342.09568071365356,30703.43916368885,29147.301921216236
49,29147.301921216236,95,348.695024728775,30819.94842282417,29800.276828569215
50,29147.301921216236,95,355.51748514175415,30914.5137702312,29341.370428606213
51,29147.301921216236,95,362.4931170940399,30855.91099654456,29298.42194582922
52,29147.301921216236,95,369.2927451133728,30672.23278233448,29519.199509401136
53,28726.564801091212,91,376.24633836746216,30394.546481172467,28726.564801091212
54,28726.564801091212,91,382.870436668396,31001.3930119926,29817.54338613035
55,28726.564801091212,91,389.6378722190857,30881.16267644416,29698.033729799135
56,28414.763933573857,88,395.8087682723999,30362.82951978141,28414.763933573857
57,28414.763933573857,88,401.966668844223,30514.355242227302,29390.45966633231
58,28386.718163087196,89,408.4201428890228,29967.95041955717,28386.718163087196
59,28386.718163087196,89,414.5768859386444,30287.275066468028,28528.595740467328
60,28386.718163087196,89,420.5707609653473,30424.9555301025,28574.31459205466
61,28386.718163087196,89,426.8499004840851,30052.24075834684,28431.091209082642
62,28386.718163087196,89,433.29498744010925,30279.957906793523,29249.214234829466
63,28386.718163087196,89,439.6633083820343,30052.551913495572,28522.655744193962
64,28386.718163087196,89,445.97543263435364,30164.32243244261,29408.002118703393
65,28386.718163087196,89,452.86298513412476,30005.081352263067,29156.834385894257
66,28129.089291735807,87,459.7888894081116,29992.476326977205,28129.089291735807
67,28129.089291735807,87,466.4784986972809,30000.80651408654,28966.21739793259
68,28129.089291735807,87,473.3132565021515,29931.953708553483,28473.155720791023
69,28073.67547218129,89,480.49812054634094,29769.63060345368,28073.67547218129
70,28073.67547218129,89,487.0208418369293,29885.62341036141,28735.66601078981
71,27993.733520282804,88,493.33772468566895,29498.292508862738,27993.733520282804
72,27993.733520282804,88,499.40578842163086,29640.851193121773,28634.364082557055
73,27993.733520282804,88,505.7537696361542,30289.688808007468,28429.82391393797
74,27993.733520282804,88,512.2462921142578,29608.55272614758,28313.736341582586
75,27993.733520282804,88,519.228164434433,29744.5664174012,28231.081658665622
76,27993.733520282804,88,525.2336177825928,29632.48860927003,28541.19979006484
77,27993.733520282804,88,531.5121281147003,29973.992082013836,29008.022942941818
78,27869.733857376687,90,538.3239061832428,29685.04506355276,27869.733857376687
79,27869.733857376687,90,545.7644107341766,29329.752774672303,28343.82689917453
80,27869.733857376687,90,552.3906631469727,29536.73061166308,28449.870776306918
81,27869.733857376687,90,558.606546163559,29351.98525178021,28243.856306720154
82,27660.14045630801,86,564.594883441925,28891.312900939713,27660.14045630801
83,27660.14045630801,86,570.8245985507965,29143.294336943083,27822.06292031968
84,27660.14045630801,86,576.7083578109741,29304.01787370005,27967.966992440353
85,27660.14045630801,86,582.7999415397644,29277.864602269245,28050.394851992958
86,27660.14045630801,86,587.7562773227692,29305.90806851151,27865.26639467216
87,27660.14045630801,86,592.5700163841248,29145.026777199808,27997.92775302789
88,27270.760290704173,84,597.4644448757172,28963.758603655653,27270.760290704173
89,27270.760290704173,84,602.5716245174408,29059.69679721891,27532.162804948664
90,27219.120531643417,82,608.1698064804077,29031.999226961685,27219.120531643417
91,27219.120531643417,82,614.0356683731079,28517.018931650382,27383.793622723468
92,27219.120531643417,82,620.4436428546906,28876.57784571774,27706.668463916147
93,27219.120531643417,82,626.252692937851,28536.018397146247,27418.3423131254
94,27219.120531643417,82,631.6168525218964,28826.45989360808,27787.102255059774
95,27219.120531643417,82,638.1499953269958,28844.193864637647,28035.096425948577
96,27219.120531643417,82,644.6876535415649,28902.984388100787,27264.177606839952
97,26925.18403801223,84,650.6558675765991,28437.041711819147,26925.18403801223
98,26342.18314093797,83,656.6179463863373,28570.518665453536,26342.18314093797
99,26342.18314093797,83,662.0984115600586,28487.455161033005,27350.317171116672
100,26342.18314093797,83,667.5837571620941,28708.764497141652,27360.16935885016
101,26342.18314093797,83,673.0960030555725,28661.054041421514,27259.020206634887
102,26342.18314093797,83,679.0379402637482,28477.25555361549,26842.207157590037
103,26342.18314093797,83,684.8994376659393,28678.783759363014,27398.66994194286
104,26342.18314093797,83,691.0461778640747,28728.272177995572,27538.84499065576
105,26342.18314093797,83,696.5369505882263,28577.91028254874,27130.969283764884
106,26342.18314093797,83,702.0562217235565,28357.91043747627,27261.885897693974
107,26342.18314093797,83,707.4788842201233,28068.51367847899,27150.922881836053
108,26342.18314093797,83,712.8876490592957,28174.801346856206,26506.812864811687
109,26342.18314093797,83,718.2639486789703,28398.75965244255,26833.336254894108
110,26342.18314093797,83,723.8261659145355,28206.53065429203,26833.685925012083
111,26342.18314093797,83,729.1799654960632,28153.042573799794,27040.039495269448
112,26342.18314093797,83,734.6954543590546,28263.235749463747,27077.08324555032
113,26342.18314093797,83,740.2116947174072,28207.065459000576,27106.544739832778
114,26117.471795643338,83,745.6842467784882,27913.7037220766,26117.471795643338
115,26117.471795643338,83,751.5186731815338,28328.40546186182,27168.281550501913
116,26117.471795643338,83,757.0704946517944,28204.064182963688,27378.714012192202
117,26117.471795643338,83,762.9093809127808,28246.699436735675,26844.639852861885
118,26117.471795643338,83,768.4402456283569,27914.850195766525,26775.255988244186
119,26117.471795643338,83,773.8736097812653,28185.9922814804,27027.71544360221
120,26117.471795643338,83,779.311977148056,28112.047476288048,27116.63555209928
121,26117.471795643338,83,784.7695755958557,28097.347192252935,26974.70031877246
122,26117.471795643338,83,790.2203676700592,27885.429434482,26977.01149341274
123,26117.471795643338,83,795.6756935119629,28061.944402485038,26803.639474543656
124,26117.471795643338,83,801.7237975597382,28069.84043996984,26819.05117163366
125,26117.471795643338,83,807.5936350822449,28053.08744747513,27018.848050722878
126,26117.471795643338,83,813.4914147853851,27767.31398605089,26469.52508959336
127,25927.20612532286,79,819.5578324794769,27643.89632447515,25927.20612532286
128,25927.20612532286,79,824.9389600753784,27961.77542676205,27096.08684425361
129,25927.20612532286,79,830.3260624408722,27757.905866595094,26494.505119159294
130,25927.20612532286,79,835.6838555335999,27714.93775086854,26512.33990984534
131,25927.20612532286,79,841.1479723453522,27755.166918994946,26807.58439613759
132,25927.20612532286,79,846.5055599212646,27552.381263527106,26700.082789866894
133,25927.20612532286,79,851.6945655345917,27675.4004022719,26142.053315376612
134,25927.20612532286,79,857.0063054561615,27564.037458276784,26544.074405158823
135,25927.20612532286,79,862.3005216121674,27605.51282890801,26701.92992534003
136,25927.20612532286,79,867.6155881881714,27661.20627199445,26288.733333768738
137,25927.20612532286,79,872.7793638706207,27667.098554109347,26844.930789645197
138,25927.20612532286,79,878.6134793758392,27559.912146649433,26371.509339032837
139,25927.20612532286,79,884.5848309993744,27254.730140306463,26127.6337004033
140,25927.20612532286,79,890.1801190376282,27553.877966408996,26411.827311253983
141,25927.20612532286,79,895.6156132221222,27349.20397571192,26423.00304644817
142,25927.20612532286,79,901.3012139797211,27419.523104708693,26302.56247639795
143,25927.20612532286,79,906.6785998344421,27467.63569868259,26473.025690057435
144,25927.20612532286,79,912.2013282775879,27255.39932472798,26059.259014789033
145,25927.20612532286,79,917.7932217121124,27302.95303563995,26494.0052156251
146,25927.20612532286,79,923.2863082885742,27452.179387273827,26044.5594661421
147,25927.20612532286,79,928.6279680728912,27325.137496346135,26334.1563748509
148,25927.20612532286,79,934.0941996574402,27205.0585812384,26128.61644581787
149,25761.175114978545,79,939.6220514774323,27230.497551550903,25761.175114978545
150,25761.175114978545,79,945.2991216182709,27252.88475741578,26009.204178253432
151,25761.175114978545,79,950.9465801715851,27483.234906221787,26384.451604128753
152,25544.678711200697,80,956.2666349411011,27212.39357813736,25544.678711200697
153,25544.678711200697,80,962.2664768695831,26826.752403506933,26053.610247406312
154,25462.103039452515,78,968.0308117866516,26914.424333704228,25462.103039452515
155,25462.103039452515,78,973.5569159984589,27116.894250838923,25829.83141683561
156,25462.103039452515,78,979.3006234169006,27181.916895910883,26173.99213935536
157,25462.103039452515,78,985.3191893100739,27083.556766244215,25645.186837839057
158,25462.103039452515,78,991.3625910282135,27361.772650247247,25956.27577531766
159,25462.103039452515,78,996.8458769321442,27097.865169579174,26247.66962975131
160,25462.103039452515,78,1002.1946668624878,27085.552902600502,25979.65050576899
161,25462.103039452515,78,1007.659850358963,27212.403265901346,26369.56475412184
162,25462.103039452515,78,1013.1764965057373,27379.712091894162,25645.31164207421
163,25462.103039452515,78,1018.8659782409668,27242.159425992664,26341.344348156286
164,25462.103039452515,78,1024.2504053115845,27085.1142090056,25920.178270756933
165,25423.704812932607,78,1029.6319000720978,26993.85074954831,25423.704812932607
166,25423.704812932607,78,1035.0616886615753,27066.150863684034,26384.675741377836
167,25423.704812932607,78,1040.618552684784,27256.65882605032,25810.4126196532
168,25423.704812932607,78,1046.091191291809,27083.158313621174,25885.373832920697
169,25423.704812932607,78,1051.669230222702,27090.995610272792,25764.42778877052
170,25423.704812932607,78,1056.9259495735168,27330.83523240045,25830.271677406035
171,25423.704812932607,78,1062.4665467739105,27294.507819768303,25964.30621445655
172,25423.704812932607,78,1068.4618496894836,27133.36689579407,25911.921982826294
173,25111.633223343888,77,1073.8643944263458,27369.08657871695,25111.633223343888
174,25111.633223343888,77,1080.0311744213104,26863.61738232427,25547.175684034984
175,25111.633223343888,77,1085.4236826896667,27093.05666404169,25963.2986295683
176,25111.633223343888,77,1090.7642261981964,27358.364874756146,26668.119685751124
177,25111.633223343888,77,1096.1531155109406,27027.62446582612,25920.0366711195
178,25111.633223343888,77,1101.4946887493134,27179.0511793872,26294.76726063415
179,25111.633223343888,77,1106.9669370651245,26913.912150260214,26014.793970235765
180,25111.633223343888,77,1112.3939397335052,26969.2038927225,25944.49441984471
181,25111.633223343888,77,1118.217039346695,26990.60435867588,26174.749446831524
182,25111.633223343888,77,1124.1002411842346,27050.729447052174,25996.697479149996
183,25111.633223343888,77,1130.089831829071,26944.531730303694,25940.476721271727
184,25111.633223343888,77,1136.1571283340454,26989.512302000214,26315.045802550558
185,25111.633223343888,77,1142.7279071807861,26670.51727042745,25736.159292330285
186,25111.633223343888,77,1148.4006600379944,26852.833797986135,26092.61035224623
187,25111.633223343888,77,1153.5553781986237,26867.822219640344,25795.84933615092
188,25111.633223343888,77,1158.2267501354218,26698.100671415705,25906.345059651576
189,25111.633223343888,77,1162.7894594669342,26738.02590174246,25956.371775859276
190,25111.633223343888,77,1168.8357102870941,26705.4066629747,25379.81459594863
191,25111.633223343888,77,1174.2823843955994,27244.885397759936,25315.466167821964
192,25111.633223343888,77,1179.6293654441833,26645.685538965412,26084.02285141371
193,25111.633223343888,77,1185.1715207099915,26966.264807631807,26138.78574070351
194,25111.633223343888,77,1190.7339978218079,26597.99844810462,25842.20010157146
195,25111.633223343888,77,1196.097972869873,26675.073555939784,25566.5946771726
196,25111.633223343888,77,1201.5025219917297,26537.822311362594,25216.942988706272
197,25111.633223343888,77,1206.8276627063751,26528.937271922954,25443.972293189443
198,25111.633223343888,77,1212.550607919693,26655.959023498523,26121.559973682208
199,25111.633223343888,77,1218.106642961502,26658.768790028338,25745.742749416288
