iteration,best_cost,best_vehicle_num,time_elapsed,avg_cost,current_iter_best,best_path
0,782.3717240084907,9,0.5295209884643555,986.3156496577792,782.3717240084907,"[0, 24, 0, 19, 18, 20, 0, 2, 5, 3, 1, 4, 0, 9, 10, 0, 21, 23, 25, 0, 6, 7, 8, 0, 16, 15, 11, 12, 17, 0, 22, 13, 0, 14, 0]"
1,731.2830528711519,8,0.8145267963409424,884.8944768313488,731.2830528711519,"[0, 16, 15, 11, 10, 0, 6, 7, 8, 4, 1, 0, 22, 24, 0, 20, 0, 9, 13, 17, 0, 21, 19, 23, 25, 0, 2, 5, 3, 0, 14, 12, 18, 0]"
2,661.1671426811639,6,1.0568392276763916,807.3405676873357,661.1671426811639,"[0, 11, 12, 16, 15, 9, 10, 17, 0, 14, 5, 3, 1, 4, 0, 2, 8, 7, 6, 13, 24, 0, 21, 23, 25, 0, 19, 18, 20, 0, 22, 0]"
3,661.1671426811639,6,1.2939698696136475,830.266860799133,726.221420993306,"[0, 11, 12, 16, 15, 9, 10, 17, 0, 14, 5, 3, 1, 4, 0, 2, 8, 7, 6, 13, 24, 0, 21, 23, 25, 0, 19, 18, 20, 0, 22, 0]"
4,650.2847092317531,7,1.4890730381011963,755.0515784664095,650.2847092317531,"[0, 6, 7, 8, 4, 13, 0, 2, 5, 3, 1, 0, 22, 24, 0, 19, 18, 20, 0, 14, 12, 16, 15, 11, 10, 17, 0, 21, 23, 25, 0, 9, 0]"
5,586.6053974016347,6,1.7659013271331787,740.2104691269494,586.6053974016347,"[0, 21, 23, 25, 0, 14, 12, 16, 15, 11, 10, 17, 13, 0, 19, 18, 20, 24, 0, 6, 7, 8, 4, 1, 0, 2, 5, 3, 0, 9, 22, 0]"
6,582.6522242420295,6,1.9535129070281982,706.9800958459072,582.6522242420295,"[0, 14, 12, 15, 16, 11, 10, 17, 13, 0, 2, 5, 3, 1, 4, 0, 19, 18, 20, 24, 0, 21, 23, 25, 0, 22, 9, 0, 6, 7, 8, 0]"
7,582.6522242420295,6,2.156900644302368,722.3542354543738,583.7521226821359,"[0, 14, 12, 15, 16, 11, 10, 17, 13, 0, 2, 5, 3, 1, 4, 0, 19, 18, 20, 24, 0, 21, 23, 25, 0, 22, 9, 0, 6, 7, 8, 0]"
8,582.6522242420295,6,2.3604562282562256,710.5186372839207,625.0641057017957,"[0, 14, 12, 15, 16, 11, 10, 17, 13, 0, 2, 5, 3, 1, 4, 0, 19, 18, 20, 24, 0, 21, 23, 25, 0, 22, 9, 0, 6, 7, 8, 0]"
9,582.6522242420295,6,2.5385243892669678,705.5709389478998,597.4701975721084,"[0, 14, 12, 15, 16, 11, 10, 17, 13, 0, 2, 5, 3, 1, 4, 0, 19, 18, 20, 24, 0, 21, 23, 25, 0, 22, 9, 0, 6, 7, 8, 0]"
10,579.6087735799504,6,2.7037456035614014,692.6336622991319,579.6087735799504,"[0, 6, 7, 8, 4, 0, 14, 12, 15, 16, 11, 10, 17, 13, 0, 2, 5, 3, 1, 0, 19, 18, 20, 24, 0, 22, 9, 0, 21, 23, 25, 0]"
11,579.6087735799504,6,2.888718843460083,677.0519249568215,587.8223887985436,"[0, 6, 7, 8, 4, 0, 14, 12, 15, 16, 11, 10, 17, 13, 0, 2, 5, 3, 1, 0, 19, 18, 20, 24, 0, 22, 9, 0, 21, 23, 25, 0]"
12,526.0834981435358,5,3.0766255855560303,662.8744013766343,526.0834981435358,"[0, 2, 5, 3, 1, 4, 0, 6, 7, 8, 0, 11, 10, 17, 13, 0, 14, 15, 16, 12, 9, 22, 24, 25, 0, 21, 23, 19, 18, 20, 0]"
13,526.0834981435358,5,3.2489089965820312,652.5101137130882,556.2606348106837,"[0, 2, 5, 3, 1, 4, 0, 6, 7, 8, 0, 11, 10, 17, 13, 0, 14, 15, 16, 12, 9, 22, 24, 25, 0, 21, 23, 19, 18, 20, 0]"
14,522.4884883535615,5,3.3988406658172607,635.9058947826094,522.4884883535615,"[0, 11, 10, 17, 13, 0, 2, 5, 3, 1, 4, 0, 14, 12, 16, 15, 9, 22, 24, 25, 0, 21, 23, 19, 18, 20, 0, 6, 7, 8, 0]"
15,522.4884883535615,5,3.559645414352417,640.4925029637659,524.6158507558854,"[0, 11, 10, 17, 13, 0, 2, 5, 3, 1, 4, 0, 14, 12, 16, 15, 9, 22, 24, 25, 0, 21, 23, 19, 18, 20, 0, 6, 7, 8, 0]"
16,522.4884883535615,5,3.710313558578491,624.3583131641171,522.4884883535615,"[0, 11, 10, 17, 13, 0, 2, 5, 3, 1, 4, 0, 14, 12, 16, 15, 9, 22, 24, 25, 0, 21, 23, 19, 18, 20, 0, 6, 7, 8, 0]"
17,522.4884883535615,5,3.8578343391418457,659.1819844225189,558.1245479897152,"[0, 11, 10, 17, 13, 0, 2, 5, 3, 1, 4, 0, 14, 12, 16, 15, 9, 22, 24, 25, 0, 21, 23, 19, 18, 20, 0, 6, 7, 8, 0]"
18,522.4884883535615,5,4.032464265823364,619.4026665176305,522.4884883535616,"[0, 11, 10, 17, 13, 0, 2, 5, 3, 1, 4, 0, 14, 12, 16, 15, 9, 22, 24, 25, 0, 21, 23, 19, 18, 20, 0, 6, 7, 8, 0]"
19,522.4884883535615,5,4.159968614578247,633.8134798254432,527.1900228301303,"[0, 11, 10, 17, 13, 0, 2, 5, 3, 1, 4, 0, 14, 12, 16, 15, 9, 22, 24, 25, 0, 21, 23, 19, 18, 20, 0, 6, 7, 8, 0]"
